distribution,n,swaps_mean,swaps_std,swaps_ci95,rounds_mean,rounds_std,rounds_ci95,gain_mean,gain_std,gain_ci95,gap_mean,gap_std,gap_ci95,layer_before_mean,layer_before_std,layer_before_ci95,layer_after_mean,layer_after_std,layer_after_ci95,node_before_mean,node_before_std,node_before_ci95,node_after_mean,node_after_std,node_after_ci95,layer_gain_mean,layer_gain_std,layer_gain_ci95,node_gain_mean,node_gain_std,node_gain_ci95
Zipf,512,1002.73,39.71816239760374,7.784759829930333,8.51,0.6275654418770872,0.1230028266079091,51.45819162216495,2.7292931345456117,0.5349414543709399,1.2845654599191958,0.375499353230759,0.07359787323322876,4.48,0.5021167315686782,0.09841487938746094,2.0,0.0,0.0,254.05,49.30371244243237,9.663527638716745,23.84,1.7962924780409975,0.3520733256960355,54.8,5.021167315686782,0.9841487938746092,90.24830169694104,2.1112383458899564,0.41380271579443145
Zipf,1024,2162.45,53.1526057211638,10.417910721348104,9.18,0.6093546843285375,0.11943351812839334,53.29166535539859,2.3945050744013257,0.4693229945826598,1.2497897657534702,0.366025382796031,0.07174097502802207,5.02,0.3755131169614465,0.07360057092444353,2.0,0.0,0.0,521.89,86.17833225060085,16.890953121117768,34.78,2.524946244052244,0.4948894638342399,59.93333333333334,3.106056499956223,0.6087870739914196,93.14061565580273,1.3159586324420907,0.25792789195864974
Concentrated,8,1.45,0.8453676505795953,0.16569205951360066,1.45,0.8453676505795953,0.16569205951360066,47.55991775721708,20.650118618680118,4.0474232492613025,1.0200174038743624e-14,7.856345457656918e-15,1.539843709700756e-15,1.45,0.8453676505795953,0.16569205951360066,0.0,0.0,0.0,4.35,2.2355032425551853,0.4381586355408163,1.0,0.0,0.0,87.0,33.799766898963114,6.624754312196769,65.1595238095238,27.78620373133596,5.446095931341848
Concentrated,16,2.05,0.9987365756167877,0.1957523688208904,2.05,0.9987365756167877,0.1957523688208904,53.27799178546229,18.292484241384823,3.5853269113114252,-3.382710778154774e-15,7.762325886014734e-15,1.5214158736588879e-15,2.05,0.9987365756167877,0.1957523688208904,0.0,0.0,0.0,8.73,4.440072344482961,0.8702541795186602,1.0,0.0,0.0,92.0,27.265992434429073,5.344134517148098,79.5543054168054,24.8280766050767,4.866303014595033
Concentrated,32,5.42,2.0408950304345703,0.4000154259651758,2.49,0.7719187689508435,0.15129607871436532,39.23311086571019,9.27664366689705,1.8182221587118217,2.4222576177452595e-14,1.569878685536468e-14,3.0769622236514776e-15,2.46,0.5206833117271102,0.1020539290985136,1.0,0.0,0.0,16.18,5.2826760895086755,1.0354045135437002,4.97,0.9687542766279014,0.18987583821906867,57.58333333333334,8.466528141182312,1.6594395156717332,66.31767982731436,11.603886557632725,2.274361765296014
Concentrated,64,12.77,2.762867051349801,0.541521942064561,3.37,0.6459665063087461,0.12660943523651422,38.84341576948104,5.422529056336845,1.0628156950420216,2.7052023121387196,3.0017354245915433,0.5883401432199424,3.05,0.4351941398892446,0.08529805141829194,1.04,0.19694638556693236,0.03860149157111874,33.2,6.701424543266224,1.31347921048018,6.64,1.7951674748129387,0.351852825063336,65.24999999999999,7.861650943380503,1.5408835849025784,79.03166161584471,7.828878859029171,1.5344602563697174
Concentrated,128,26.2,4.828367354824124,0.9463600015455282,3.83,0.652191333393457,0.12782950134511756,34.812998595376,4.37805843341039,0.8580994529484363,0.6018447348193696,0.9913499425514098,0.19430458874007633,3.39,0.4902071300001972,0.09608059748003865,2.0,0.0,0.0,63.28,10.334877694955898,2.025636028211356,17.77,4.014758128241704,0.786892593135374,39.83333333333333,8.170118833336625,1.6013432913339785,71.19986753685482,7.955255805657285,1.5592301379088278
Concentrated,256,59.65,6.5664820770856345,1.2870304871087843,4.74,0.7194273817250477,0.14100776681810936,33.09709232838577,2.493306335599783,0.4886880417775575,0.40124804992189056,0.57572905085202,0.11284289396699591,4.0,0.0,0.0,2.0,0.0,0.0,127.94,12.311463000477287,2.4130467480935485,29.93,2.1094065420387698,0.4134436822395989,50.0,0.0,0.0,76.39703253265814,2.7759634523724745,0.544088836665005
Concentrated,512,129.48,10.431575996836612,2.044588895379976,5.36,0.7319546268434785,0.14346310686132177,31.31761199936343,1.7590727259563936,0.3447782542874532,1.4134570260126567,0.51961437608745,0.10184441771314019,4.44,0.4988876515698589,0.09778197970769234,2.61,0.4902071300001973,0.09608059748003867,255.0,18.57499133324974,3.6406983013169496,49.56,5.394198155182449,1.05726283841576,40.3,13.75874377634202,2.6967137801630363,80.45922966432424,2.582990011528052,0.5062660422594981
Concentrated,1024,273.68,14.19409466053835,2.7820425534655167,6.03,0.5765624358421579,0.11300623742506295,29.738071038207444,1.0808462997677806,0.211845874754485,0.06659630185757048,0.10148681258359288,0.019891415266384205,5.0,0.0,0.0,3.0,0.0,0.0,513.96,25.694758338241012,5.036172634295238,125.03,5.751512756649244,1.1272965003032518,40.0,0.0,0.0,75.60842530647182,1.7137905763606363,0.3359029529666847
